Note,Duration
A,250
A,250
B,250
A,250
A,250
A,250
B,250
A,250
A,250
B,250
A,250
G,250
E,250
E,250
E,250
E,250
E,250
E,250
F#,250
G,250
B,250
A,250
B,250
A,250
G,250
F#,250
D,250
D,250
D,250
E,250
F#,250
G,250
F#,250
E,250
E,250
E,250
D,250
D,250
D,250
E,250
F#,250
G,250
F#,250
E,250
E,250
E,250
A,250
A,250
B,250
A,250
A,250
A,250
B,250
A,250
A,250
B,250
A,250
G,250
E,250
E,250
E,250
B,250
B,250
B,250
A,250
G,250
E,250
E,250
E,250
E,250
F#,250
G,250
A,250
A,250
B,250
B,250
B,250
B,250
B,250
B,250
A,250
G,250
E,250
E,250
E,250
E,250
F#,250
G,250
D,250
C#,250
B,250
B,250
B,250
B,250
B,250
B,250
A,250
G,250
E,250
E,250
E,250
E,250
F#,250
G,250
A,250
A,250
B,250
B,250
B,250
B,250
B,250
B,250
A,250
G,250
E,250
E,250
E,250
E,250
F#,250
G,250
A,250
A,250
B,250
B,250
B,250
B,250
B,250
B,250
A,250
G,250
E,250
E,250
E,250
E,250
F#,250
G,250
D,250
C#,250
B,250
B,250
B,250
B,250
D,250
C#,250
D,250
B,250
D,250
C#,250
B,250
D,250
C#,250
D,250
C#,250
D,250
E,250
D,250
C#,250
C#,250
C#,250
B,250
C#,250
D,250
E,250
F#,250
E,250
E,250
E,250
F#,250
D,250
D,250
D,250
E,250
D,250
C#,250
E,250
E,250
F#,250
G,250
B,250
A,250
B,250
A,250
G,250
F#,250
D,250
D,250
D,250
E,250
F#,250
G,250
F#,250
E,250
E,250
E,250
D,250
D,250
D,250
E,250
F#,250
G,250
F#,250
E,250
E,250
E,250
A,250
A,250
B,250
A,250
A,250
A,250
B,250
A,250
A,250
B,250
A,250
G,250
E,250
E,250
E,250
A,250
A,250
B,250
A,250
A,250
A,250
B,250
A,250
A,250
B,250
A,250
G,250
E,250
E,250
E,250
